Borehole_ID,Latitude,Longitude,Depth_m,Mn_Grade_Percent
BAL-BH-001,21.809364,80.18458,105.1,47.8
BAL-BH-002,21.823768,80.185425,51.7,46.9
BAL-BH-003,21.8183,80.171481,36.9,46.67
BAL-BH-004,21.814966,80.177169,75.7,46.89
BAL-BH-005,21.8039,80.172317,113.6,48.36
BAL-BH-006,21.8039,80.187262,89.6,47.81
BAL-BH-007,21.801452,80.182466,77.0,47.87
BAL-BH-008,21.821654,80.176618,29.7,45.41
BAL-BH-009,21.815028,80.171271,81.5,49.05
BAL-BH-010,21.817702,80.17622,119.0,45.42
BAL-BH-011,21.800515,80.176504,34.0,47.42
BAL-BH-012,21.824248,80.184592,71.8,49.72
BAL-BH-013,21.820811,80.182751,107.7,45.46
BAL-BH-014,21.805308,80.187744,94.1,45.93
BAL-BH-015,21.804546,80.179444,89.7,47.49
BAL-BH-016,21.804585,80.172392,90.2,45.96
BAL-BH-017,21.807606,80.184265,55.9,45.44
BAL-BH-018,21.813119,80.185216,49.4,48.17
BAL-BH-019,21.810799,80.181226,100.9,48.66
BAL-BH-020,21.807281,80.185419,101.0,48.14
BAL-BH-021,21.815296,80.179876,106.7,47.72
BAL-BH-022,21.803487,80.180455,111.3,49.42
BAL-BH-023,21.807304,80.178551,71.1,47.07
BAL-BH-024,21.809159,80.170508,70.2,46.34
BAL-BH-025,21.811402,80.172158,99.8,48.46
BAL-BH-026,21.819629,80.170629,85.0,44.69
BAL-BH-027,21.804992,80.182728,90.2,47.67
BAL-BH-028,21.812856,80.176287,99.6,50.76
BAL-BH-029,21.81481,80.180171,109.0,47.01
BAL-BH-030,21.801161,80.188151,53.8,46.68
BAL-BH-031,21.815189,80.174986,57.6,48.22
BAL-BH-032,21.804263,80.178208,29.4,48.4
BAL-BH-033,21.801626,80.185111,77.8,44.74
BAL-BH-034,21.823722,80.174576,23.6,44.47
BAL-BH-035,21.824141,80.17154,66.6,47.09
BAL-BH-036,21.82021,80.175795,74.3,47.39
BAL-BH-037,21.807615,80.173224,48.7,47.57
BAL-BH-038,21.802442,80.188594,79.1,46.98
BAL-BH-039,21.817106,80.186162,23.1,46.19
BAL-BH-040,21.811004,80.182668,23.7,49.74
BAL-BH-041,21.803051,80.187429,102.3,47.03
BAL-BH-042,21.812379,80.186073,56.0,46.71
BAL-BH-043,21.80086,80.173731,32.7,49.26
BAL-BH-044,21.822733,80.187851,72.2,47.13
BAL-BH-045,21.806469,80.180787,97.0,46.18
BAL-BH-046,21.816563,80.186149,41.6,48.28
BAL-BH-047,21.807793,80.187922,82.3,45.54
BAL-BH-048,21.813002,80.17636,28.5,50.0
BAL-BH-049,21.813668,80.172201,25.2,48.96
BAL-BH-050,21.804621,80.174559,73.1,45.73
BAL-BH-051,21.82424,80.178542,74.1,47.96
BAL-BH-052,21.819378,80.18636,83.7,47.47
BAL-BH-053,21.823487,80.187215,92.6,47.63
BAL-BH-054,21.822371,80.170139,117.6,49.19
BAL-BH-055,21.814947,80.180215,71.6,48.95
BAL-BH-056,21.823047,80.178348,52.3,45.51
BAL-BH-057,21.802212,80.174442,99.5,45.3
BAL-BH-058,21.8049,80.172397,47.1,45.53
BAL-BH-059,21.801131,80.176752,63.9,46.5
BAL-BH-060,21.808133,80.188858,27.8,47.38
BAL-BH-061,21.809717,80.176464,22.5,49.0
BAL-BH-062,21.806784,80.180376,116.3,49.35
BAL-BH-063,21.820718,80.18406,103.6,46.9
BAL-BH-064,21.808919,80.177273,89.6,50.82
BAL-BH-065,21.807023,80.189436,60.9,46.31
BAL-BH-066,21.813567,80.189249,37.3,51.0
BAL-BH-067,21.803523,80.175036,35.6,47.78
BAL-BH-068,21.820055,80.179945,45.0,45.91
BAL-BH-069,21.801864,80.176018,74.9,45.07
BAL-BH-070,21.824672,80.175697,91.5,47.14
BAL-BH-071,21.819306,80.170738,86.0,46.23
BAL-BH-072,21.804968,80.182191,48.0,48.45
BAL-BH-073,21.800138,80.180054,115.5,47.27
BAL-BH-074,21.820387,80.17103,93.8,46.41
BAL-BH-075,21.817671,80.175573,75.4,46.15
