Borehole_ID,Latitude,Longitude,Depth_m,Mn_Grade_Percent
DB-BH-001,21.552491,79.685854,85.8,40.59
DB-BH-002,21.564014,79.677818,76.8,38.17
DB-BH-003,21.55964,79.691044,29.4,39.23
DB-BH-004,21.556973,79.676491,56.8,38.19
DB-BH-005,21.54812,79.694738,46.5,38.5
DB-BH-006,21.54812,79.690445,44.4,39.99
DB-BH-007,21.546162,79.678974,117.3,41.77
DB-BH-008,21.562324,79.67511,59.3,38.94
DB-BH-009,21.557022,79.691309,109.2,40.51
DB-BH-010,21.559161,79.689137,83.1,40.36
DB-BH-011,21.545412,79.68958,99.5,36.08
DB-BH-012,21.564398,79.690425,70.3,38.87
DB-BH-013,21.561649,79.676481,77.7,39.01
DB-BH-014,21.549247,79.682169,69.3,43.91
DB-BH-015,21.548636,79.677317,39.5,38.8
DB-BH-016,21.548668,79.692262,92.2,39.62
DB-BH-017,21.551085,79.687466,48.1,41.12
DB-BH-018,21.555495,79.681618,22.4,40.29
DB-BH-019,21.553639,79.676271,84.5,41.08
DB-BH-020,21.550825,79.68122,37.7,41.72
DB-BH-021,21.557237,79.681504,114.0,42.67
DB-BH-022,21.54779,79.689592,115.4,38.08
DB-BH-023,21.550843,79.687751,111.5,43.06
DB-BH-024,21.552327,79.692744,57.0,37.45
DB-BH-025,21.554121,79.684444,21.5,45.38
DB-BH-026,21.560704,79.677392,112.8,42.48
DB-BH-027,21.548993,79.689265,62.8,38.35
DB-BH-028,21.555285,79.690216,116.7,39.96
DB-BH-029,21.556848,79.686226,116.4,43.28
DB-BH-030,21.545929,79.690419,105.3,38.21
DB-BH-031,21.557151,79.684876,49.4,40.87
DB-BH-032,21.54841,79.685455,58.5,40.24
DB-BH-033,21.546301,79.683551,105.1,37.78
DB-BH-034,21.563978,79.675508,51.7,39.3
DB-BH-035,21.564313,79.677158,36.9,37.32
DB-BH-036,21.561168,79.675629,75.7,41.17
DB-BH-037,21.551092,79.687728,113.6,39.91
DB-BH-038,21.546953,79.681287,89.6,38.88
DB-BH-039,21.558685,79.685171,77.0,43.05
DB-BH-040,21.553803,79.693151,29.7,37.69
DB-BH-041,21.547441,79.679986,81.5,39.64
DB-BH-042,21.554904,79.683208,119.0,45.55
DB-BH-043,21.545688,79.690111,34.0,36.54
DB-BH-044,21.563186,79.679576,71.8,39.4
DB-BH-045,21.550176,79.67654,107.7,39.53
DB-BH-046,21.55825,79.680795,94.1,41.94
DB-BH-047,21.551234,79.678224,89.7,37.84
DB-BH-048,21.555401,79.693594,90.2,37.45
DB-BH-049,21.555934,79.691162,55.9,41.08
DB-BH-050,21.548697,79.687668,49.4,40.48
DB-BH-051,21.564392,79.692429,100.9,39.11
DB-BH-052,21.560503,79.691073,101.0,40.07
DB-BH-053,21.56379,79.678731,106.7,37.9
DB-BH-054,21.562897,79.692851,111.3,39.21
DB-BH-055,21.556958,79.685787,71.1,43.69
DB-BH-056,21.563437,79.691149,70.2,37.92
DB-BH-057,21.54677,79.692922,99.8,41.61
DB-BH-058,21.54892,79.68136,85.0,40.65
DB-BH-059,21.545905,79.677201,90.2,36.94
DB-BH-060,21.551507,79.679559,99.6,41.18
DB-BH-061,21.552774,79.683542,109.0,41.24
DB-BH-062,21.550427,79.69136,53.8,40.85
DB-BH-063,21.561575,79.692215,57.6,40.87
DB-BH-064,21.552135,79.675139,29.4,37.8
DB-BH-065,21.550619,79.685215,77.8,42.77
