Borehole_ID,Latitude,Longitude,Depth_m,Mn_Grade_Percent
UKW-BH-001,21.962491,80.474392,29.0,38.99
UKW-BH-002,21.974014,80.470503,103.5,38.28
UKW-BH-003,21.96964,80.47379,52.1,38.96
UKW-BH-004,21.966973,80.472897,38.7,36.2
UKW-BH-005,21.95812,80.466958,24.1,39.11
UKW-BH-006,21.95812,80.473437,79.1,39.22
UKW-BH-007,21.956162,80.45677,87.8,40.75
UKW-BH-008,21.972324,80.45892,21.7,38.12
UKW-BH-009,21.967022,80.455905,71.2,37.72
UKW-BH-010,21.969161,80.461507,42.6,39.27
UKW-BH-011,21.955412,80.462774,84.5,40.21
UKW-BH-012,21.974398,80.460427,37.4,39.23
UKW-BH-013,21.971649,80.471575,89.1,38.13
UKW-BH-014,21.959247,80.462135,58.7,40.43
UKW-BH-015,21.958636,80.460619,113.7,39.43
UKW-BH-016,21.958668,80.465854,33.8,41.12
UKW-BH-017,21.961085,80.457818,54.1,38.12
UKW-BH-018,21.965495,80.471044,31.3,39.29
UKW-BH-019,21.963639,80.456491,112.5,38.48
UKW-BH-020,21.960825,80.474738,107.7,36.53
UKW-BH-021,21.967237,80.470445,45.8,40.29
UKW-BH-022,21.95779,80.458974,86.0,39.31
UKW-BH-023,21.960843,80.45511,101.7,38.71
UKW-BH-024,21.962327,80.471309,75.5,39.17
UKW-BH-025,21.964121,80.469137,73.0,38.45
UKW-BH-026,21.970704,80.46958,44.2,38.76
UKW-BH-027,21.958993,80.470425,29.3,38.67
UKW-BH-028,21.965285,80.456481,109.7,37.89
UKW-BH-029,21.966848,80.462169,110.0,40.81
UKW-BH-030,21.955929,80.457317,83.3,39.16
UKW-BH-031,21.967151,80.472262,53.9,42.15
UKW-BH-032,21.95841,80.467466,54.9,39.73
UKW-BH-033,21.956301,80.461618,92.6,39.31
UKW-BH-034,21.973978,80.456271,109.7,38.38
UKW-BH-035,21.974313,80.46122,108.7,36.0
UKW-BH-036,21.971168,80.461504,98.0,39.41
UKW-BH-037,21.961092,80.469592,84.2,39.89
UKW-BH-038,21.956953,80.467751,28.4,42.79
UKW-BH-039,21.968685,80.472744,36.2,38.79
UKW-BH-040,21.963803,80.464444,109.9,43.06
UKW-BH-041,21.957441,80.457392,80.6,38.65
UKW-BH-042,21.964904,80.469265,20.9,38.8
UKW-BH-043,21.955688,80.470216,30.1,40.42
UKW-BH-044,21.973186,80.466226,86.4,40.27
UKW-BH-045,21.960176,80.470419,20.5,40.59
UKW-BH-046,21.96825,80.464876,36.1,39.77
UKW-BH-047,21.961234,80.465455,74.9,42.91
UKW-BH-048,21.965401,80.463551,89.2,40.34
UKW-BH-049,21.965934,80.455508,85.2,39.77
UKW-BH-050,21.958697,80.457158,42.4,42.09
